city,city_id,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Neuilly-sur-Seine,26,Neuilly,48.8881,2.2686,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,,13338.4,60361,59940,2,Europe/Paris,FALSE,1250765188
Chambéry,54,,45.57,5.9118,France,FR,FRA,Auvergne-Rhône-Alpes,Auvergne-Rhone-Alpes,FR-ARA,region,minor,2802.9,58919,58833,2,Europe/Paris,FALSE,1250283861
Niort,72,,46.3258,-0.4606,France,FR,FRA,Nouvelle-Aquitaine,Nouvelle-Aquitaine,FR-NAQ,region,minor,866,58707,58707,3,Europe/Paris,FALSE,1250833218
Sarcelles,66,Sarcelles-Lochère,48.9956,2.3808,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,minor,6959.9,58587,58587,2,Europe/Paris,FALSE,1250985562
Pantin,7,,48.8966,2.4017,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,,11788.4,57482,57482,2,Europe/Paris,FALSE,1250209071
Lorient,22,,47.75,-3.36,France,FR,FRA,Bretagne,Bretagne,FR-E,region,minor,3265.7,57149,57084,2,Europe/Paris,FALSE,1250615711
Le Blanc-Mesnil,27,,48.9387,2.4614,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,,7099.4,56783,56783,2,Europe/Paris,FALSE,1250383006
Beauvais,76,,49.4303,2.0952,France,FR,FRA,Hauts-de-France,Hauts-de-France,FR-HDF,region,minor,1699.3,56020,56020,3,Europe/Paris,FALSE,1250473996
Maisons-Alfort,85,,48.8058,2.4378,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,,10448.4,55655,55655,2,Europe/Paris,FALSE,1250000462
Hyères,18,,43.1199,6.1316,France,FR,FRA,Provence-Alpes-Côte d’Azur,Provence-Alpes-Cote d'Azur,FR-U,region,,416,55588,55069,3,Europe/Paris,FALSE,1250566198
Épinay-sur-Seine,32,Epinay,48.9553,2.3092,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,,11984.9,55084,54771,2,Europe/Paris,FALSE,1250904959
